,Fabrication,Physical and Embedded computing,Visual computing and Digital Design,Data and computing,Business Management,Entrepreneurship,Design,Cluster,Token
Business Planning,0.86425257,0.955145,0.8835768,0.83532333,0.37846863,0.62045705,0.7702143,Physical and Embedded computing,Business Planning
Manufacturing,0.5275544,0.8596946,0.8722836,0.7889716,0.6715102,0.64602953,0.78906083,Visual computing and Digital Design,Manufacturing
Supply Chain,0.73198426,0.87992656,0.91461414,0.8596692,0.5346527,0.7481315,0.7729417,Visual computing and Digital Design,Supply Chain
Virtual Reality,0.82970476,0.7950457,0.765918,0.7916695,0.8438648,0.8377083,0.8070634,Business Management,Virtual Reality
Back-end Web development,0.9191135,0.85934913,0.804901,0.7447904,0.7478968,0.87813646,0.8182684,Fabrication,Back-end Web development
Data Visualization,0.91349494,0.84239733,0.5447717,0.4629407,0.7594503,0.8502566,0.7534729,Fabrication,Data Visualization
Data Analytics,0.91474354,0.82779485,0.80738854,0.50614417,0.71532977,0.7861638,0.7998882,Fabrication,Data Analytics
Project management,0.92750466,0.8971727,0.8685113,0.76751816,0.5368932,0.7697611,0.7717973,Fabrication,Project management
Fashion,0.6583114,0.93808,0.7541123,0.8146589,0.8198764,0.802781,0.5755439,Physical and Embedded computing,Fashion
Experiential Design,0.72098786,0.79141057,0.6215879,0.8219125,0.7775237,0.742174,0.57163155,Data and computing,Experiential Design
Product Launch,0.8252998,0.92274076,0.888438,0.8638495,0.60573584,0.6461689,0.7366057,Physical and Embedded computing,Product Launch
3D Simulation,0.71900487,0.60908794,0.6760125,0.6622205,0.8785349,0.86456156,0.808337,Business Management,3D Simulation
Product Management,0.7380507,0.8869536,0.80373436,0.85730284,0.4766537,0.64798903,0.66174084,Physical and Embedded computing,Product Management
Strategic Decision Making,0.8773059,0.94474286,0.9118053,0.8567947,0.49371386,0.60806555,0.78682137,Physical and Embedded computing,Strategic Decision Making
Accounting,0.8730376,0.93651,0.97393167,0.7284214,0.5230153,0.6566498,0.80632997,Visual computing and Digital Design,Accounting
Budgeting,0.8686007,0.9276043,0.894188,0.81519353,0.63559043,0.7063303,0.7313477,Physical and Embedded computing,Budgeting
Investment Planning,0.8933837,0.95681655,0.9167022,0.8741317,0.56785846,0.6163349,0.82971525,Physical and Embedded computing,Investment Planning
Game Art,0.7271025,0.8864457,0.6171312,0.7823082,0.80669177,0.8423555,0.63596463,Physical and Embedded computing,Game Art
Front-end Web development,0.85508657,0.8804506,0.72619355,0.80151343,0.7778001,0.8557539,0.73796904,Physical and Embedded computing,Front-end Web development
Data Modelling,0.8786244,0.79115593,0.65592515,0.42055488,0.7563325,0.9041932,0.6909771,Entrepreneurship,Data Modelling
Data structures and Algorithms,0.9257437,0.6868932,0.65872943,0.41097164,0.80270064,0.9206725,0.7725635,Fabrication,Data structures and Algorithms
IoT,0.8760839,0.6328395,0.878281,0.67627585,0.7469009,0.772246,0.78693724,Visual computing and Digital Design,IoT
Business Intelligence,0.9103061,0.8752864,0.8264249,0.5798463,0.5226034,0.751482,0.8147669,Fabrication,Business Intelligence
Big Data,0.93545324,0.720112,0.8121853,0.400751,0.7556491,0.824968,0.8568845,Fabrication,Big Data
Full-stack web development,0.90354747,0.84589255,0.81362087,0.79334843,0.78268665,0.8344848,0.79201686,Fabrication,Full-stack web development
User testing,0.8799575,0.9148911,0.8335298,0.7459853,0.7622744,0.8240277,0.7546327,Physical and Embedded computing,User testing
Customer Experience,0.8558026,0.9389668,0.90091664,0.8942108,0.7263231,0.8256747,0.7573884,Physical and Embedded computing,Customer Experience
Public speaking,0.9080153,0.9166114,0.9446778,0.8509569,0.7990457,0.81800514,0.8855677,Visual computing and Digital Design,Public speaking
Team building,0.89133453,0.9756855,0.9007524,0.8840485,0.6420587,0.7536026,0.7450469,Physical and Embedded computing,Team building
Visual Effects,0.84215015,0.8882963,0.6619476,0.86078507,0.963183,0.95363855,0.8425597,Business Management,Visual Effects
Wood working,0.7338254,0.9401363,0.9020737,0.88210154,0.841194,0.79556096,0.8627318,Physical and Embedded computing,Wood working
Metal Working,0.6643152,0.8314376,0.84429693,0.85330904,0.7908199,0.8304641,0.7942644,Data and computing,Metal Working
Laser cutting,0.57354367,0.8011401,0.7407445,0.86292094,0.96456504,0.91702676,0.79384613,Business Management,Laser cutting
3D printing,0.6213422,0.7756176,0.6695764,0.81904006,0.9660356,0.94078535,0.83226573,Business Management,3D printing
Textiles,0.54792047,0.8497999,0.8072964,0.8130794,0.8416575,0.81052184,0.70274043,Physical and Embedded computing,Textiles
Data mining,0.92872095,0.8751838,0.83981985,0.4808967,0.6825778,0.81605786,0.81958383,Fabrication,Data mining
Artificial Intelligence,0.794127,0.6943265,0.70482326,0.5104446,0.7853502,0.7691004,0.775089,Fabrication,Artificial Intelligence
2D / 3D Sketching,0.84989595,0.90478873,0.47696662,0.7583263,0.91054046,0.8699247,0.7140004,Business Management,2D / 3D Sketching
Business model development,0.8348254,0.9460938,0.87105227,0.83216774,0.41927117,0.53099465,0.6962499,Physical and Embedded computing,Business model development
Liscensing,0.808741,1.0011868,0.89429647,0.93097425,0.834969,0.7789005,0.88947594,Physical and Embedded computing,Liscensing
Medical Imaging,0.8167068,0.8535483,0.7644335,0.7846905,0.8631653,0.91992813,0.80741,Entrepreneurship,Medical Imaging
Telemedicine,0.97231215,0.7046786,0.8187027,0.70661634,0.8098423,0.9032559,0.8577298,Fabrication,Telemedicine
Health Informatics,0.9612566,0.7510982,0.77141565,0.5111127,0.8191115,0.9160966,0.8311833,Fabrication,Health Informatics
Human computer interaction,0.86571693,0.7296202,0.6022643,0.63602126,0.7378739,0.78472954,0.6176325,Fabrication,Human computer interaction
User research,0.81322724,0.8335218,0.7521384,0.6298822,0.6922076,0.6954926,0.6399702,Physical and Embedded computing,User research
Material science,0.69474953,0.7309063,0.90788424,0.7767129,0.82348514,0.8735837,0.81404895,Visual computing and Digital Design,Material science
Sustainability,0.7610237,0.8548297,0.83941275,0.8753948,0.59098375,0.6396493,0.66731894,Data and computing,Sustainability
